,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002803,吉宏股份,0.43,,2.94,14.6,0.64,3738.44,95.89,,06-22
1,300521,爱司凯,0.71,14.52,3.83,20.52,0.51,4280.32,14.27,,06-22
2,300522,世名科技,1.11,24.72,4.56,27.32,1.18,5528.81,23.83,,06-21
3,603069,海汽集团,0.29,3.57,2.95,10.41,0.99,6888.77,4.69,,06-21
4,002805,丰元股份,0.36,-23.4,5.67,6.48,0.38,2631.11,-23.08,,06-20
5,300520,科大国创,0.64,30.61,3.85,18.31,0.51,4444.85,32.8,,06-20
6,601966,玲珑轮胎,0.68,-18.07,4.36,15.25,1.01,67761.09,-18.77,,06-13
7,603016,新宏泰,0.59,-3.28,4.12,15.49,0.8,6588.17,-2.76,,06-08
8,002802,洪汇新材,0.56,47.37,3.47,17.54,0.64,4537.01,46.9,,06-07
9,002801,微光股份,1.86,15.53,9.29,22.17,2.21,8222.46,16.01,,06-07
10,603958,哈森股份,0.73,14.22,3.93,20.07,0.25,11912.08,14.13,,06-07
11,300517,海波重科,0.59,18.0,4.19,15.15,0.97,4528.9,18.25,,06-06
12,603909,合诚股份,0.71,7.98,3.98,19.34,0.62,5300.24,7.98,,06-06
13,300518,盛讯达,1.32,5.6,6.94,20.97,1.26,9213.64,5.01,,06-06
14,300519,新光药业,1.98,12.5,5.16,44.38,2.08,11878.42,12.43,,06-06
15,601127,小康股份,0.5,25.0,3.46,15.67,0.52,37236.97,23.93,,05-23
16,300515,三德科技,0.56,-10.33,3.04,19.52,0.37,4217.19,-10.33,,05-20
17,002799,环球印务,0.46,-11.54,4.25,11.6,0.84,3484.13,-8.65,,05-19
18,603131,上海沪工,0.65,-4.41,4.47,15.42,0.89,4848.14,-4.44,,05-18
19,002800,天顺股份,0.58,0.0,4.83,12.73,0.82,3272.91,1.06,,05-17
20,601611,中国核建,0.38,18.75,2.87,15.79,0.32,79753.16,19.7,,05-16
21,300516,久之洋,1.33,29.13,4.39,33.82,1.39,11981.02,28.68,,05-16
22,300513,恒泰实达,0.68,12.9,5.37,13.55,0.54,3893.73,12.9,,05-16
23,603959,百利科技,0.45,4.65,2.74,17.68,0.22,7487.45,4.74,,05-16
24,603737,三棵树,1.54,12.41,7.31,23.2,2.86,11550.94,12.51,,05-16
25,000809,铁岭新城,-0.22,-540.0,,-5.31,,-17933.97,-723.32,,04-30
26,600767,运盛医疗,-0.21,-371.05,,-21.2,,-7024.38,-370.34,,04-30
27,002069,*ST獐岛,-0.34,-79.54,,-24.04,,-24293.63,-79.57,,04-30
28,002306,中科云网,0.08,-109.41,,-122.27,,6557.4,-109.59,,04-30
29,002366,台海核电,0.05,-81.06,,1.7,,1758.44,-50.11,10派0.5,04-30
30,000630,铜陵有色,-0.07,-136.84,,-4.63,,-66643.27,-321.66,,04-30
31,300318,博晖创新,0.03,-86.98,,1.07,,1188.2,-68.85,10派0.03转10,04-30
32,000723,美锦能源,-0.19,-733.33,,-10.46,,-36427.42,-3940.28,,04-30
33,000539,粤电力A,0.62,-10.14,,14.42,,323773.33,7.78,10派2.3,04-30
34,000004,国农科技,0.01,-70.2,,1.54,,124.71,-67.19,,04-30
35,300028,金亚科技,0.04,-63.0,,4.04,,1280.75,-50.31,,04-30
36,002200,云投生态,0.06,100.0,,1.26,,1024.84,122.52,,04-30
37,600822,上海物贸,-3.19,-10733.33,,-890.05,,-158440.47,-11148.84,,04-30
38,000767,漳泽电力,0.18,-25.17,,7.53,,41188.25,-25.19,,04-30
39,002715,登云股份,-0.58,-376.19,,-11.27,,-5311.56,-385.19,,04-30
40,000402,金融街,0.75,-22.68,,9.03,,225318.55,-23.03,10派4,04-30
41,002118,紫鑫药业,0.08,-11.11,,1.98,,3959.15,-16.11,,04-30
42,600645,中源协和,0.54,440.0,,14.88,,20835.31,487.49,,04-30
43,600189,吉林森工,0.14,366.67,,3.39,,4470.64,321.49,10派0.5,04-30
44,002605,姚记扑克,0.25,-22.29,,9.53,,9504.19,-22.29,10派1,04-30
45,000961,中南建设,0.3,-63.41,,3.93,,35133.97,-63.37,10派0.4转15,04-30
46,600423,柳化股份,-1.22,-6200.0,,-46.25,,-48555.24,-5622.86,,04-30
47,300013,新宁物流,-0.52,-1400.0,,-21.12,,-10974.57,-1804.67,,04-30
48,000693,ST华泽,-0.29,-173.24,,-11.64,,-15541.64,-173.22,,04-30
49,600686,金龙汽车,0.97,73.21,,16.26,,53520.05,115.33,10派1.6,04-30
50,000690,宝新能源,0.37,-37.29,,12.91,,64431.54,-36.92,10派2,04-30
51,000564,西安民生,0.08,-41.27,,2.08,,4246.06,-29.78,,04-30
52,000593,大通燃气,0.05,-18.03,,2.14,,1409.46,-17.91,,04-30
53,600112,天成控股,-0.35,-1211.54,,-14.99,,-17659.1,-1209.85,,04-30
54,300135,宝利国际,0.03,-79.03,,2.04,,2683.06,-57.7,,04-30
55,000546,金圆股份,0.44,46.68,,15.06,,26438.53,103.9,,04-30
56,002403,爱仕达,0.36,5.88,,6.8,,11339.46,39.4,,04-30
57,002325,洪涛股份,0.36,-12.2,,11.75,,35750.38,21.01,10派0.35转2,04-30
58,000687,华讯方舟,-0.36,-1998.42,,-21.88,,-27317.65,-1998.08,,04-30
59,000020,深华发A,-0.02,-187.82,,-2.27,,-673.15,-187.56,,04-30
60,000961,中南建设,0.3,-63.41,,3.93,,35133.97,-63.37,,04-30
61,000593,大通燃气,0.05,-18.03,,2.14,,1409.46,-17.91,,04-30
62,600112,天成控股,-0.35,-1211.54,,-14.99,,-17659.1,-1209.85,,04-30
63,300135,宝利国际,0.03,-79.03,,2.04,,2683.06,-57.7,,04-30
64,000546,金圆股份,0.44,46.68,,15.06,,26438.53,103.9,,04-30
65,002325,洪涛股份,0.36,-12.2,,11.75,,35750.38,21.01,,04-30
66,000687,华讯方舟,-0.36,-1998.42,,-21.88,,-27317.65,-1998.08,,04-30
67,000020,深华发A,-0.02,-187.82,,-2.27,,-673.15,-187.56,,04-30
68,002496,辉丰股份,0.45,-28.57,,6.1,,17290.33,-14.09,10转28派1,04-30
